WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
04268+1240,EDR3,24.192,0.072,0.788,1.31,2.057,1.216,1.31,1.39,0.615,0.662,0.701,0.6,0.648,0.689,EDR3,24.192,0.072,1.307,0.52,352
04275-2427,EDR3,14.017,0.14,0.69,2.071,6.789,1.929,2.063,2.213,1.019,1.1,1.193,0.911,0.963,1.02,EDR3,14.017,0.14,2.03,0.7,330
04301+1538,EDR3,21.383,0.042,2.213,2.573,2.972,2.44,2.637,2.872,1.488,1.629,1.792,0.952,1.008,1.08,EDR3,21.383,0.042,2.573,1.5,15
04422+3731,EDR3,16.922,0.04,1.225,2.25,4.191,1.976,2.095,2.28,0.992,1.053,1.145,0.985,1.042,1.135,Hip07,17.26,1.76,2.105,0.72,331
04496-5353,EDR3,33.929,0.012,1.653,1.905,2.184,1.583,1.683,1.787,0.821,0.869,0.923,0.762,0.814,0.865,EDR3,33.929,0.012,1.905,3.24,133
05102-7236,plxx,49.51,2.79,0.299,0.906,3.01,0.81,0.902,0.988,0.415,0.461,0.502,0.395,0.442,0.486,x,49.51,2.79,0.887,0.38,234
05167+4600,EDR3,74.978,0.018,0.214,0.744,2.853,0.759,0.832,0.898,0.502,0.533,0.566,0.258,0.299,0.332,EDR3,74.978,0.018,0.736,3.46,174
05234-3640,EDR3,18.293,0.028,0.201,1.646,9.056,1.714,1.812,1.922,0.889,0.941,0.996,0.825,0.872,0.926,EDR3,18.293,0.028,1.523,0.81,215
05247+6323,3rd light,20.605,0.028,1.272,2.122,4.005,1.927,2.048,2.195,1.003,1.071,1.163,0.923,0.977,1.032,3rd,20.605,0.028,2.117,1.11,114
05270-6837,Hip97,13.16,0.85,1.151,3.522,11.708,2.93,3.224,3.566,1.519,1.673,1.857,1.411,1.551,1.709,Hip97,13.16,0.85,3.431,1.44,159
05322+7049,Hip07,13.6,1.47,1.216,1.905,2.999,1.812,1.933,2.093,0.958,1.023,1.121,0.854,0.91,0.972,Hip07,13.6,1.47,1.903,0.99,136
05330-2415,EDR3,15,0.277,1.315,1.616,1.976,1.644,1.751,1.854,0.876,0.93,0.985,0.768,0.821,0.869,EDR3,15,0.277,1.615,0.43,307
05336-5104,Hip07,23.62,0.94,0.525,1.555,6.13,1.496,1.597,1.699,0.772,0.827,0.875,0.724,0.77,0.824,Hip07,23.62,0.94,1.564,1.77,49
05460+2119,Hip07,6.34,1.23,0.427,3.771,24.304,2.877,3.267,3.799,1.506,1.715,2.009,1.372,1.552,1.79,Hip07,6.34,1.23,3.38,0.66,54
05479+0758,Hip07,8.16,1.81,1.535,3.049,6.866,2.557,2.912,3.397,1.395,1.593,1.875,1.161,1.319,1.522,Hip07,8.16,1.81,2.996,0.72,352
05580-5212,EDR3,15.05,0.018,0.618,1.846,6.046,1.729,1.833,1.939,0.867,0.92,0.974,0.861,0.912,0.965,EDR3,15.05,0.018,1.814,0.98,349
06003-3102,Hip97,66.82,24.41,0.154,1.603,15.616,1.134,1.309,1.529,0.554,0.64,0.748,0.579,0.669,0.781,Hip97,66.82,24.41,1.354,2.9,2
06047-4505,EDR3,36.96,0.052,0.193,2.774,18.164,1.815,1.952,2.106,1.103,1.198,1.301,0.712,0.754,0.805,EDR3,36.96,0.052,2.034,5.99,215
06082+3759,Hip07,5.42,0.9,1.599,3.765,9.404,3.314,3.914,4.657,2.113,2.576,3.15,1.201,1.337,1.507,Hip07,5.42,0.9,3.601,1.83,332
06262+1845,EDR3,68.267,0.086,0.182,1.28,11.005,1.225,1.319,1.411,0.814,0.864,0.916,0.411,0.455,0.495,EDR3,68.267,0.086,1.804,2.05,323
06274-2544,EDR3,22.421,0.185,1.889,1.951,2.016,1.635,1.734,1.838,0.829,0.875,0.929,0.807,0.859,0.909,EDR3,22.421,0.185,1.951,0.61,17
06336-1207,EDR3,16.785,0.07,1.663,1.985,2.391,1.818,1.926,2.054,0.955,1.012,1.087,0.863,0.914,0.967,EDR3,16.785,0.07,1.984,0.88,309
06345-1114,Hip97,10.46,2,1.278,2.591,5.827,2.396,2.69,3.065,1.208,1.355,1.545,1.188,1.335,1.52,Hip97,10.46,2,2.479,0.64,5
06487+0737,EDR3,17.371,0.02,1.423,1.848,2.416,1.833,1.944,2.089,0.997,1.061,1.153,0.836,0.883,0.936,EDR3,17.371,0.02,1.845,1.35,67
06545-2734,Hip97,13.34,2.71,0.573,2.033,8.158,1.878,2.036,2.302,0.951,1.029,1.171,0.927,1.007,1.131,EDR3,13.401,0.045,1.862,0.72,294
06555+3010,Hip07,25.98,1.86,0.237,1.966,11.076,1.628,1.739,1.847,0.834,0.886,0.942,0.795,0.853,0.905,Hip07,25.98,1.86,1.806,0.91,119
06579-4417,EDR3,124.441,0.031,0.066,0.536,2.949,0.544,0.624,0.694,0.274,0.313,0.349,0.27,0.311,0.345,EDR3,124.441,0.031,0.495,2.39,67
07112+4330,plxx,76.4,1.1,0.183,0.203,0.227,0.203,0.215,0.232,0.078,0.08,0.083,0.124,0.136,0.149,x,76.4,1.1,0.203,0.63,245
07527+0323,Hip07,4.76,1.5,1.842,4.484,14.385,3.556,4.279,5.968,1.796,2.168,3.029,1.761,2.112,2.939,Hip07,4.76,1.5,4.4,0.95,9
08122+1739,EDR3,40.888,0.146,2.528,2.569,2.61,2.175,2.365,2.571,1.128,1.225,1.331,1.047,1.14,1.24,EDR3,40.888,0.146,2.569,1.14,18
08132-1354,Hip07,48.45,5.34,0.955,1.307,1.857,1.119,1.21,1.311,0.585,0.637,0.687,0.534,0.573,0.624,Hip07,48.45,5.34,1.308,1.1,118
08153-6255,Hip97,13.47,0.56,1,4.256,18.771,3.288,3.634,4.185,2.088,2.329,2.766,1.2,1.305,1.419,Hip97,13.47,0.56,4.21,4.07,70
08231+2001,Hip97,6.55,1.78,0.677,2.672,12.748,2.104,2.426,2.854,1.059,1.22,1.437,1.045,1.206,1.417,Hip97,6.55,1.78,2.413,0.45,350
08243+4457,EDR3,27.113,0.015,0.241,1.968,10.885,1.694,1.801,1.915,0.937,0.992,1.054,0.757,0.809,0.861,EDR3,27.113,0.015,1.815,29.12,242
08394-3636,Hip07,26.42,0.67,1.83,2.261,2.783,2.071,2.229,2.396,1.198,1.301,1.413,0.874,0.928,0.983,Hip07,26.42,0.67,2.26,0.87,244
08456+8442,Hip97,23.1,2.05,0.186,1.543,8.783,1.45,1.552,1.673,0.719,0.768,0.828,0.731,0.784,0.845,EDR3,21.566,0.64,1.745,0.51,149
08462-1422,Hip97,10.88,1.37,1.421,2.14,3.334,2.042,2.243,2.485,1.019,1.117,1.236,1.023,1.126,1.249,Hip97,10.88,1.37,2.131,0.42,330
08507+0752,EDR3,56.124,0.031,0.646,1.232,2.381,1.123,1.206,1.298,0.573,0.617,0.663,0.55,0.59,0.635,EDR3,56.124,0.031,1.221,1.18,182
08531+5457,Hip07,19.19,0.73,1.819,2.071,2.365,1.951,2.068,2.249,0.985,1.045,1.139,0.966,1.023,1.11,Hip07,19.19,0.73,2.071,0.68,92
08554+7048,EDR3,86.331,0.026,0.891,1.217,1.668,1.141,1.225,1.317,0.581,0.625,0.67,0.56,0.6,0.647,EDR3,86.331,0.026,1.215,3.14,356
08571+1139,DR2,58.421,0.908,0.773,0.836,0.903,0.823,0.906,0.982,0.493,0.526,0.557,0.329,0.38,0.425,DR2,58.421,0.908,0.836,0.6,243
08589+0829,plxx,147.66,1.98,0.588,0.632,0.68,0.522,0.598,0.674,0.278,0.316,0.356,0.244,0.282,0.319,x,147.66,1.98,0.632,0.45,82
09104+6708,EDR3,48.644,0.024,1.452,1.94,2.592,1.932,2.078,2.245,1.242,1.347,1.467,0.69,0.731,0.778,EDR3,48.644,0.024,1.936,4.47,348
09144+5241,EDR3,157.885,0.014,0.873,1.102,1.436,1.11,1.189,1.281,0.558,0.598,0.645,0.551,0.591,0.636,EDR3,157.885,0.014,1.102,17.08,98
09210+3811,Hip97,20.91,1.49,2.133,2.844,3.81,2.349,2.569,2.807,1.211,1.322,1.446,1.138,1.247,1.361,Hip97,20.91,1.49,2.836,1.13,310
09239+2754,Hip97,6.49,1.78,1.295,2.819,7.597,2.482,2.868,3.444,1.381,1.601,1.951,1.101,1.267,1.494,Hip07,6.4,1.01,2.902,1.25,205
09307-4028,DR2,54.411,0.265,2.751,2.837,2.926,2.538,2.768,3.022,1.421,1.554,1.703,1.117,1.214,1.319,DR2,54.411,0.265,2.837,0.81,115
09313-1329,Hip97,94.95,4.31,0.819,0.937,1.077,0.803,0.895,0.979,0.391,0.437,0.481,0.413,0.458,0.499,Hip97,94.95,4.31,0.937,0.5,266
