WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
23009+3522,EDR3,16.679,0.019,0.522,1.562,5.111,1.479,1.574,1.67,0.781,0.835,0.883,0.698,0.738,0.787,EDR3,16.679,0.019,1.536,0.97,303
23357-2729,Hip97,25.96,1.11,1.625,2.056,2.595,1.91,2.055,2.217,1.071,1.166,1.275,0.839,0.889,0.942,Hip97,25.96,1.11,2.053,0.67,31
23401+1258,Hip07,15.61,1.83,0.215,1.805,10.508,1.59,1.706,1.837,0.874,0.937,1.004,0.717,0.769,0.834,Hip97,15.45,2.46,1.697,0.89,35
23506-5142,EDR3,28.353,0.036,1.685,1.758,1.834,1.689,1.786,1.892,0.86,0.911,0.963,0.828,0.875,0.929,EDR3,28.353,0.036,1.758,0.96,60
23524+7533,EDR3,91.772,0.042,0.145,1.178,6.474,1.083,1.171,1.27,0.786,0.84,0.888,0.297,0.33,0.381,EDR3,91.772,0.042,1.092,2.18,314
01001+4443,EDR3,6.765,0.025,0.664,5.427,30.094,4.672,5.299,6.062,2.665,3.075,3.462,2.006,2.224,2.611,DR2,6.596,0.052,5.416,7.88,194
08508+3504,Hip97,17.24,1.83,1.35,2.474,4.797,2.21,2.43,2.673,1.113,1.223,1.347,1.097,1.206,1.327,Hip97,17.24,1.83,2.415,3.48,279
08582+1945,EDR3,194.734,0.104,0.094,0.28,0.916,0.241,0.268,0.295,0.114,0.127,0.138,0.13,0.141,0.157,EDR3,194.734,0.104,0.276,2.17,51
09572+4554,EDR3,14.002,0.014,1.064,1.992,3.819,1.839,1.944,2.089,0.973,1.026,1.117,0.866,0.918,0.972,EDR3,14.002,0.014,1.975,4.5,250
12281+4448,EDR3,22.07,0.015,1.697,2.215,2.908,1.982,2.13,2.299,1.031,1.122,1.219,0.952,1.008,1.08,EDR3,22.07,0.015,2.212,9.71,157
13540+3249,Hip07,14,1.05,1.627,2.193,2.98,1.965,2.106,2.295,1.007,1.087,1.188,0.958,1.019,1.107,Hip07,14,1.05,2.184,6.68,328
14051+4913,EDR3,5.212,0.009,0.855,1.787,3.299,1.731,1.836,1.943,0.868,0.921,0.975,0.863,0.915,0.968,EDR3,5.212,0.009,1.78,4.63,85
17590+3003,Hip07,2.416,1.203,0.566,6.745,96.77,5.597,7.875,12.848,3.525,5.002,8.178,2.075,2.883,4.706,Hip07,2.416,1.203,5.762,19.65,277
02452-4344,3rd light,90.177,0.025,0.296,0.419,0.588,0.428,0.49,0.564,0.228,0.262,0.303,0.2,0.228,0.261,3rd,90.177,0.025,0.418,0.4,131
03513+2621,3rd light,9.259,0.018,0.853,2.551,8.343,2.361,2.57,2.787,1.203,1.305,1.417,1.159,1.265,1.37,3rd,9.259,0.018,2.51,0.42,195
08317+1924,3rd light,60.06,0.036,0.069,0.567,3.139,0.441,0.508,0.575,0.244,0.283,0.319,0.197,0.225,0.257,3rd,60.06,0.036,0.523,0.97,185
13450+0206,EDR3,23.4,0.073,0.483,1.447,4.725,1.145,1.221,1.299,0.622,0.667,0.707,0.523,0.553,0.593,EDR3,23.4,0.073,1.422,0.63,58
11499+3754,EDR3,11.756,0.2,0.86,1.704,3.477,1.603,1.705,1.807,0.78,0.834,0.882,0.823,0.87,0.925,EDR3,11.756,0.2,1.683,0.54,301
04406-0912,Hip07,50.8,3.74,0.851,1.169,1.629,0.992,1.061,1.131,0.493,0.528,0.561,0.499,0.533,0.569,Hip07,50.8,3.74,1.161,1.72,190
05069-2135,EDR3,50.54,0.055,0.962,1.028,1.099,0.9,0.976,1.047,0.489,0.521,0.552,0.411,0.455,0.496,EDR3,50.54,0.055,1.028,0.96,112
08289-1552,Hip97,29.69,1.63,0.838,1.528,2.56,1.338,1.421,1.517,0.818,0.868,0.924,0.52,0.552,0.593,Hip97,29.69,1.63,1.527,1.33,260
18581+4711,EDR3,18.907,0.015,0.238,1.954,10.792,1.85,1.958,2.075,0.936,0.991,1.052,0.914,0.967,1.023,EDR3,18.907,0.015,1.801,1.41,186
