WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
03350+6002,DR3,19.829,0.018,2.321,2.472,2.637,2.211,2.377,2.585,1.22,1.325,1.44,0.991,1.052,1.145,DR3,19.829,0.018,2.472,1.62,268
03356+3141,H97,11.92,1.33,0.878,2.787,9.652,2.579,2.836,3.149,1.312,1.445,1.606,1.266,1.391,1.543,H07,11.63,0.97,2.895,1.04,221
03362+4220,H07,15.3,1.65,1.428,1.998,2.88,1.817,1.942,2.1,0.953,1.019,1.114,0.864,0.923,0.986,H07,15.3,1.65,1.987,0.74,346
03401+3407,tgas,22.9,0.73,1.478,2.347,3.754,2.012,2.158,2.346,1.014,1.094,1.188,0.998,1.064,1.158,tgas,22.9,0.73,2.336,1.91,59
03520+0632,DR3,4.476,0.074,3.943,11.838,38.72,7.86,9.046,10.503,4.189,4.776,5.633,3.671,4.283,4.87,H97,4.63,1.49,10.511,0.82,208
04041+3931,H07,30.9,1.1,1.688,2.113,2.636,1.686,1.793,1.918,0.945,1.002,1.071,0.74,0.791,0.847,H07,30.9,1.1,2.11,1.58,54
04070+3934,oth,6.079,1.216,0.239,2.116,13.705,2.117,2.391,2.718,1.05,1.184,1.347,1.068,1.207,1.371,x,6.079,1.216,1.887,0.35,129
04076+3804,H97,48.59,1.17,0.193,1.574,8.728,1.462,1.556,1.648,0.841,0.889,0.941,0.621,0.667,0.706,DR3,47.325,0.023,1.571,2.82,354
04130-2832,DR3,15.621,0.03,0.452,2.171,10.512,2.055,2.229,2.421,1.035,1.127,1.224,1.02,1.102,1.197,DR3,15.621,0.03,2.159,1.37,55
04227+1503,H07,22.92,1.11,1.51,2.336,3.61,1.917,2.067,2.227,1.044,1.139,1.242,0.873,0.929,0.985,H07,22.92,1.11,2.321,1.23,329
04242-5704,DR3,36.332,0.012,1.084,1.863,3.159,1.875,1.985,2.123,0.962,1.019,1.101,0.913,0.965,1.022,DR3,36.332,0.012,1.853,5.33,248
04268+1240,DR3,24.192,0.072,0.787,1.309,2.058,1.215,1.309,1.39,0.615,0.662,0.701,0.6,0.647,0.689,DR3,24.192,0.072,1.307,0.52,352
04275-2427,DR3,14.017,0.14,0.69,2.063,6.759,1.929,2.063,2.213,1.018,1.1,1.193,0.911,0.963,1.02,DR3,14.017,0.14,2.03,0.7,330
04301+1538,DR3,21.383,0.042,2.213,2.574,2.972,2.44,2.637,2.873,1.489,1.629,1.792,0.952,1.008,1.08,DR3,21.383,0.042,2.573,1.5,15
04422+3731,DR3,16.922,0.04,1.224,2.251,4.183,1.976,2.096,2.28,0.992,1.053,1.145,0.985,1.043,1.135,H07,17.26,1.76,2.105,0.72,331
04496-5353,DR3,33.929,0.012,1.653,1.905,2.184,1.584,1.683,1.787,0.821,0.869,0.923,0.762,0.814,0.864,DR3,33.929,0.012,1.905,3.24,133
05102-7236,oth,49.51,2.79,0.299,0.907,3.004,0.811,0.903,0.988,0.415,0.461,0.502,0.395,0.442,0.486,x,49.51,2.79,0.887,0.38,234
05167+4600,DR3,74.978,0.018,0.214,0.745,2.849,0.76,0.832,0.898,0.502,0.533,0.566,0.258,0.299,0.331,DR3,74.978,0.018,0.736,3.46,174
05234-3640,DR3,18.293,0.028,0.202,1.652,9.092,1.714,1.812,1.922,0.889,0.941,0.996,0.825,0.872,0.926,DR3,18.293,0.028,1.523,0.81,215
05247+6323,3rd,20.605,0.028,1.272,2.12,4.006,1.927,2.048,2.195,1.003,1.071,1.163,0.923,0.977,1.032,3rd,20.605,0.028,2.117,1.11,114
05270-6837,H97,13.16,0.85,1.15,3.511,11.729,2.93,3.224,3.568,1.519,1.673,1.858,1.411,1.551,1.71,H97,13.16,0.85,3.431,1.44,159
05322+7049,H07,13.6,1.47,1.218,1.906,2.997,1.812,1.933,2.093,0.958,1.023,1.122,0.854,0.91,0.972,H07,13.6,1.47,1.903,0.99,136
05330-2415,DR3,15.0,0.277,1.316,1.616,1.975,1.644,1.751,1.854,0.876,0.93,0.984,0.768,0.821,0.869,DR3,15.0,0.277,1.615,0.43,307
05336-5104,H07,23.62,0.94,0.526,1.552,6.119,1.496,1.597,1.699,0.772,0.827,0.875,0.724,0.77,0.825,H07,23.62,0.94,1.564,1.77,49
